index,disease_name,description,Possible Steps,image_url
10,Corn: Blight lá phía bắc,"Blight lá ngô phía bắc (NCLB) là do nấm setosphaeria turcica gây ra. Các triệu chứng thường xuất hiện đầu tiên trên lá dưới. Các tổn thương lá dài (1 đến 6 inch) và hình elip, màu xanh xám lúc đầu nhưng sau đó chuyển sang màu xám nhạt hoặc màu nâu. Trong điều kiện ẩm ướt, các bào tử màu xám đậm được tạo ra, thường là trên bề mặt lá dưới, tạo ra các tổn thương một hình dạng màu xám ""bẩn"". Toàn bộ lá trên thực vật bị tàn phá nghiêm trọng có thể chết, vì vậy các tổn thương riêng lẻ không thể nhìn thấy. Tổn thương có thể xảy ra trên vỏ trấu bên ngoài của tai, nhưng hạt nhân không bị nhiễm bệnh. Trên các giống lai có chứa gen HT để kháng nấm, các tổn thương nhỏ hơn, clo và có thể phát triển thành các vệt tuyến tính. Những tổn thương này hiếm khi tạo ra bào tử.","Ứng dụng diệt nấm làm giảm thiệt hại và năng suất của lá ngô phía bắc và năng suất được bảo vệ. Giá trị thuốc diệt nấm cao hơn trong việc giảm năng suất trong các giống ngô nhạy cảm. Thuốc diệt nấm có hiệu quả nhất nếu chúng được áp dụng khi khởi phát bệnh. Khởi phát bệnh khác nhau trong các giai đoạn tăng trưởng, và vì vậy giai đoạn tốt nhất để áp dụng thuốc diệt nấm.",https://crop-protection-network.s3.amazonaws.com/articles/NLB-Daren-Mueller-02.jpg
11,Ngô: khỏe mạnh,"Cây ngô thích nhiệt độ ban ngày từ 75 đến 80 độ F và 65 đến 70 độ F trong đêm. Đất nên được giữ ẩm liên tục, nhưng không sũng nước và chúng chỉ cần phân bón cứ sau 6 tháng. Mặc dù Dracaena có thể có điều kiện ánh sáng yếu, nhưng chúng làm tốt nhất khi được đặt trong ánh sáng sáng nhưng gián tiếp. Đó chỉ là tự nhiên để một cây tạo ra một vài lá vàng, không có gì để báo động về. Tuy nhiên, nếu nó tạo ra nhiều lá vàng cùng một lúc, nói năm hoặc sáu, bạn có thể tưới nước quá mức hoặc cây có thể bị thiếu ánh sáng.","Ngô có một số lợi ích sức khỏe. Vì hàm lượng sợi cao, nó có thể hỗ trợ tiêu hóa. Nó cũng chứa vitamin B có giá trị, rất quan trọng đối với sức khỏe tổng thể của bạn. Ngô cũng cung cấp cho cơ thể chúng ta các khoáng chất thiết yếu như kẽm, magiê, đồng, sắt và mangan.",https://c8.alamy.com/comp/A85TR2/young-healthy-green-leaves-of-corn-maize-plant-in-pretty-unfolding-A85TR2.jpg
12,Nho: thối đen,"Nho đen thối là một bệnh nấm do một loại nấm ascomycetous, Guignardia bidwellii, tấn công dây leo nho trong thời tiết nóng và ẩm. �Grape Black Rot có nguồn gốc từ miền đông Bắc Mỹ, nhưng hiện đang xảy ra ở các phần của Châu Âu, Nam Mỹ và Châu Á. Nó có thể gây mất hoàn toàn mùa màng ở vùng khí hậu ấm áp, ẩm ướt, nhưng hầu như không được biết đến ở những vùng có mùa hè khô cằn. Bệnh cũng tấn công các bộ phận khác của cây, � Tất cả các phần màu xanh lá cây của cây nho: chồi, thân lá và trái cây, gân và trái cây. Hiệu ứng gây hại nhất là trái cây","Mancozeb có sẵn dưới dạng thuốc diệt nấm Bonide Mancozeb. Nó chứa 37% mancozeb và nên rất hiệu quả để kiểm soát thối đen. Nova (Myclobutanil) có sẵn trong thuốc diệt nấm miễn dịch. Đó là 1,55 % myclobutanil và sẽ có hiệu quả để kiểm soát thối đen.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Guignardia_bidwellii_08.jpg/330px-Guignardia_bidwellii_08.jpg
13,Nho: Esca | Bệnh sởi đen,"Bệnh sởi Grapevine, còn được gọi là ESCA, sởi đen hoặc bệnh sởi Tây Ban Nha, đã có những người trồng nho từ lâu với biểu hiện mật mã của các triệu chứng và, trong một thời gian dài, thiếu một sinh vật nhân quả có thể nhận dạng. Cái tên �easles� đề cập đến các điểm hời hợt được tìm thấy trên trái cây (Hình 1). Trong mùa, các đốm có thể kết hợp trên bề mặt da, làm cho quả mọng màu đen xuất hiện. Phát hiện có thể phát triển bất cứ lúc nào giữa bộ trái cây và một vài ngày trước khi thu hoạch. Các loại quả bị ảnh hưởng tại bộ trái cây có xu hướng không trưởng thành và sẽ co lại và khô. Ngoài việc phát hiện, trái cây bị ảnh hưởng sau đó trong mùa cũng sẽ có một hương vị gay gắt. Các triệu chứng được đặc trưng bởi mô hình �tiger sọc � (Hình 2 lá đáy) khi nhiễm trùng nghiêm trọng từ năm này sang năm khác. Nhiễm trùng nhẹ có thể tạo ra các triệu chứng lá (Hình 2-Upper Leaf) có thể bị nhầm lẫn với các bệnh khác hoặc thiếu hụt dinh dưỡng. Các giống trắng sẽ hiển thị các khu vực clo, sau đó là hoại tử, trong khi các giống cây trồng đỏ được đặc trưng bởi các khu vực màu đỏ sau đó là hoại tử. Các triệu chứng đầu mùa xuân bao gồm dieback đầu chồi, sự đổi màu của lá và rụng lá hoàn toàn trong các trường hợp nghiêm trọng.","Cho đến ngày không có phương pháp hiệu quả để kiểm soát căn bệnh này. Loại bỏ các quả mọng bị nhiễm bệnh, lá và thân và phá hủy chúng. Bảo vệ các vết thương cắt tỉa để giảm thiểu nhiễm nấm bằng cách sử dụng chất bịt kín vết thương (axit boric 5% trong sơn acrylic) hoặc tinh dầu hoặc thuốc diệt nấm phù hợp.",https://www.researchgate.net/profile/Laura-Mugnai/publication/43161073/figure/fig1/AS:340404659605512@1458170203496/Symptoms-associated-with-esca-of-grapevine-chlorosis-and-necrosis-on-the-leaves-showing_Q320.jpg
14,Nho: BLIGHT Lá | Điểm lá Isariopsis,"Nấm là một mầm bệnh bắt buộc có thể tấn công tất cả các bộ phận màu xanh lá cây của cây nho.
Các triệu chứng của bệnh này thường bị nhầm lẫn với các bệnh phấn trắng. Lá bị nhiễm bệnh phát triển các tổn thương màu xanh lá cây màu vàng nhạt dần dần chuyển sang màu nâu. Lá bị nhiễm trùng nghiêm trọng thường giảm sớm. Các cuống lá bị nhiễm trùng, gân và chồi thường cuộn tròn, phát triển kẻ gian của người chăn cừu, và cuối cùng chuyển sang màu nâu và chết.
Các loại quả non rất dễ bị nhiễm trùng và thường được bao phủ bởi các cấu trúc quả trắng của nấm. Các loại quả cũ của các giống cây trồng trắng có thể chuyển sang màu xanh xám xỉn, trong khi những cây giống đen chuyển sang màu đỏ hồng.","Áp dụng thuốc xịt không hoạt động để giảm mức độ cấy.
Cắt nó ra. 
Mở tán đó.
Đừng làm bạn phòng thủ.
Hướng đạo sớm, Scout thường xuyên.
Sử dụng thuốc chống nấm bảo vệ và hệ thống.
Xem xét kháng thuốc.
Xem thời tiết.",https://www.goodfruit.com/wp-content/uploads/Black-rot-lesions-on-leaves-indicate-potential-for-fruit-infection-1-feat2.jpg
15,Nho: khỏe mạnh,Chỉ áp dụng nước vào vùng gốc. Tránh bị ướt tán lá vì điều này có thể khuyến khích nhiều bệnh nho. Giảm tưới dây leo non vào mùa thu để khuyến khích cây làm cứng cây gậy của mình để chuẩn bị cho mùa đông. Cây nho cũ hiếm khi cần bất kỳ tưới nước trừ khi trên cát hoặc đất cạn kiệt khác.,"Đóng gói với các chất dinh dưỡng, đặc biệt là vitamin C và K.
Hàm lượng chống oxy hóa cao có thể ngăn ngừa các bệnh mãn tính.
Các hợp chất thực vật có thể bảo vệ chống lại một số loại ung thư. 
Có lợi cho sức khỏe tim theo những cách ấn tượng khác nhau.
Có thể giảm lượng đường trong máu và bảo vệ chống lại bệnh tiểu đường.",https://images.indianexpress.com/2021/02/grapes-1200.jpg
16,Orange: Haunglongbing | Xanh cam quýt,"Bệnh xanh cam quýt là một bệnh của cam quýt gây ra bởi mầm bệnh truyền vector. HLB được phân biệt bởi các triệu chứng phổ biến của màu vàng của các tĩnh mạch và các mô lân cận; tiếp theo là đốm sáng của toàn bộ lá, rụng lá sớm, sự chết chóc của cành cây, phân rã gốc rễ và rễ bên, và suy giảm sức sống, cuối cùng là cái chết của toàn bộ cây. Những cây bị ảnh hưởng đã tăng trưởng, mang nhiều hoa ngoài mùa (hầu hết rơi ra) và tạo ra trái cây nhỏ, có hình dạng không đều với vỏ dày, nhạt, vẫn còn màu xanh lá cây ở phía dưới và có vị rất đắng. Các triệu chứng phổ biến thường có thể bị nhầm lẫn với sự thiếu hụt chất dinh dưỡng; Tuy nhiên, yếu tố phân biệt giữa thiếu hụt chất dinh dưỡng là mô hình đối xứng. Thiếu hụt chất dinh dưỡng có xu hướng đối xứng dọc theo rìa tĩnh mạch lá, trong khi HLB có màu vàng không đối xứng xung quanh tĩnh mạch. Triệu chứng đáng chú ý nhất của HLB là xanh và còi cọc của trái cây, đặc biệt là sau khi chín","Cách duy nhất để ngăn ngừa sự lây lan của bệnh xanh cam quýt là kiểm soát ACP (psyllid cam quýt châu Á). Vì cam quýt là một cây vườn phổ biến và được trồng rộng rãi như vậy, các chủ nhà ở trên tuyến đầu của trận chiến quan trọng này. Hãy dùng cây chanh với thuốc trừ sâu dầu Neem, cả trên cùng và mặt dưới của tán lá. Bạn có thể cần phải lặp lại trong 10-14 ngày, tùy thuộc vào mức độ của sự phá hoại. Theo dõi bằng cách điều trị sự phát triển của nấm mốc bằng thuốc diệt nấm đồng lỏng.",https://www.universityofcalifornia.edu/sites/default/files/CitrusGreening.jpg
17,Peach: điểm vi khuẩn,"Điểm vi khuẩn là một bệnh quan trọng của đào, mật hoa, mơ và mận gây ra bởi Xanthomonas Campestris PV. Pruni. Các triệu chứng của bệnh này bao gồm các đốm trái cây, đốm lá và cành cây. Các triệu chứng trái cây bao gồm rỗ, nứt, gumming và mô nước, có thể làm cho quả dễ bị thối nâu hơn, rhizopus và các bệnh nhiễm nấm khác. Nhiễm trùng đốm lá nghiêm trọng có thể gây ra sự rụng lá sớm. Độ rụng nghiêm trọng có thể dẫn đến giảm kích thước trái cây, và cháy nắng và nứt trái cây. Cây rụng lá sớm bị giảm mạnh trong sức mạnh và độ cứng mùa đông.","Các triệu chứng trái cây của bệnh vi khuẩn có thể bị nhầm lẫn với vảy đào, do nấm cladosporium carpophyllium gây ra, tuy nhiên các đốm scab có hình tròn hơn, có màu nâu sẫm/xanh lá cây, mờ và không làm ngắt bề mặt trái cây, mặc dù có thể xảy ra nứt da. Scab không gây ra các triệu chứng lá nhưng có thể gây ra các đốm trên cành cây. Các điểm trái cây ban đầu của bệnh vi khuẩn có thể là bề ngoài nhưng phát triển thành miệng hố.",https://www.gardeningknowhow.com/wp-content/uploads/2016/07/bacterial-spot-peach.jpg
18,Peach: khỏe mạnh,"Cây đào mọc ở các khu vực USDA 5 đến 8 hoặc 9, và chúng có sẵn trong các kích thước lùn hoặc tiêu chuẩn, khiến chúng trở thành một lựa chọn tuyệt vời cho các vườn cây sân sau. Không giống như hầu hết các vật trang trí, cây đào cần cắt tỉa thường xuyên, bón phân và phun thuốc để giữ sức khỏe và làm việc hiệu quả. Giữ mặt đất xung quanh cây của bạn không có cỏ và cỏ dại sẽ cạnh tranh cho nước và chất dinh dưỡng, và mùn một cách hào phóng.","Đóng gói với chất dinh dưỡng và chất chống oxy hóa. 
Có thể hỗ trợ tiêu hóa. 
Có thể cải thiện sức khỏe tim mạch. 
Có thể bảo vệ làn da của bạn.
Có thể ngăn ngừa một số loại ung thư.
Có thể làm giảm các triệu chứng dị ứng.
Có sẵn rộng rãi và dễ dàng để thêm vào chế độ ăn uống của bạn.",https://www.tasteofhome.com/wp-content/uploads/2019/06/peaches-shutterstock_297863489-1.jpg
19,Chuông tiêu: Điểm vi khuẩn,"Các đốm lá xuất hiện ở bề mặt dưới của lá già như nhỏ, mụn nhọt và trên bề mặt lá trên như các điểm ngâm nước nhỏ là một triệu chứng của điểm vi khuẩn. Đây là một bệnh tiêu quan trọng ở Maryland. Nó cũng thỉnh thoảng tấn công cà chua. Cuối cùng, các điểm phát triển các trung tâm màu xám đến nâu với biên giới tối hơn. Tổn thương phóng to trong thời tiết ấm áp, ẩm ướt. Lá sau đó có thể chuyển sang màu vàng, sau đó màu nâu và thả. Tổn thương cũng có thể phát triển trên thân cây. Trái cây phát triển các điểm thô nhỏ, được nâng lên không ảnh hưởng đến chất lượng ăn uống. Lá bị nhiễm bệnh nặng sẽ giảm dẫn đến kem chống nắng của ớt. Điểm lá của vi khuẩn được lan truyền bằng cách bắn tung mưa và làm việc với cây ướt, bị nhiễm bệnh. Bệnh này có thể làm rụng lá thực vật trong thời tiết ẩm ướt. Thời tiết nóng, khô làm chậm sự lây lan của bệnh này. Bệnh có thể xuất hiện trên hạt hoặc cấy ghép và có thể vượt qua dư lượng cây trồng và đất.","Chọn các giống kháng
Mua hạt giống không có bệnh và cấy ghép.
Xử lý hạt bằng cách ngâm chúng trong 2 phút trong dung dịch tẩy clo 10% (1 phần thuốc tẩy; 9 phần nước). Rửa sạch hạt và làm khô chúng trước khi trồng.
Cây mùn sâu với một vật liệu hữu cơ dày như báo được phủ bằng rơm hoặc cắt cỏ.
Tránh tưới nước trên cao.
Hủy bỏ và loại bỏ các bộ phận thực vật bị nhiễm bệnh và tất cả các mảnh vụn vào cuối mùa.
Xịt cứ sau 10-14 ngày với đồng cố định (thuốc diệt nấm hữu cơ) để làm chậm sự lây lan của nhiễm trùng.
Xoay ớt đến một vị trí khác nếu nhiễm trùng nghiêm trọng và phủ đất bằng lớp phủ nhựa màu đen hoặc vải cảnh đen trước khi trồng.",https://extension.umd.edu/sites/default/files/_images/programs/grow_it_eat_it/diseases/BacterialLeafSpot/bacterial_leaf_spot_pepper_plant_l.jpg
20,Chuông tiêu: khỏe mạnh,"Giữ ớt chuông được tưới nước tốt, nhưng không bao giờ rời khỏi đất sũng nước. Nước để làm ẩm đất sâu khoảng 6 inch, sau đó để khô một chút. Tưới nước đặc biệt quan trọng trong quá trình đặt trái cây, khi ớt nhỏ thay thế hoa, và khi chuông trưởng thành. Độ ẩm phù hợp giúp giữ cho ớt cứng và khỏe mạnh.","Chú ớt chuông đỏ, cam và vàng có rất nhiều lợi ích sức khỏe tuyệt vời - chúng chứa nhiều vitamin và ít calo! Chúng là một nguồn tuyệt vời của vitamin A, vitamin C và kali. Chim ớt cũng chứa một liều chất xơ, folate và sắt lành mạnh.",https://www.healthbenefitstimes.com/9/gallery/bell-peppers/Bell-pepper-leaves.jpg
21,Khoai tây: Blight sớm,"Trong hầu hết các khu vực sản xuất, sự tàn phá sớm xảy ra hàng năm ở một mức độ nào đó. Mức độ nghiêm trọng của bệnh dịch sớm phụ thuộc vào tần suất ẩm ướt từ mưa, sương hoặc tưới; tình trạng dinh dưỡng của tán lá; và tính nhạy cảm của giống cây trồng. Các triệu chứng đầu tiên của bệnh dịch sớm xuất hiện dưới dạng nhỏ, hình tròn hoặc không đều, màu nâu sẫm đến các đốm đen trên lá (dưới) cũ. Những điểm này mở rộng đường kính lên tới 3/8 inch và dần dần có thể trở thành hình góc. Các tổn thương trên lá non, lá được mở rộng hoàn toàn có thể bị nhầm lẫn với các tổn thương đốm nâu. Những tổn thương đầu tiên này xuất hiện khoảng hai đến ba ngày sau khi bị nhiễm trùng, với sự bào tử hơn nữa trên bề mặt của các tổn thương này xảy ra ba đến năm ngày sau đó.",Điều trị bệnh hoạn sớm bao gồm phòng ngừa bằng cách trồng các giống khoai tây có khả năng kháng bệnh; Trưởng thành muộn có khả năng kháng nhiều hơn so với các giống trưởng thành sớm. Tránh tưới trên cao và cho phép sục khí đủ giữa các cây để cho phép tán lá khô càng nhanh càng tốt.,https://www.ag.ndsu.edu/publications/crops/early-blight-in-potato/figure-1-opt.jpeg/@@images/468990cc-77a9-4e29-8779-0eb3e94e0407.jpeg
